X;Y;X_fit_1;X_fit_2
[1, 2, 512, 5];0.006044264076002359;[4.233707275261138];[4.233707275261178, -2.476732689973501]
[4, 32, 16, 4];0.7023355107711758;[0.13268562559127034];[0.13268562559126199, 0.26620807696885856]
[16, 32, 2, 5];0.020628935077136226;[-0.14258672925629715];[-0.14258672925630675, 0.24726937540279587]
[2, 4, 128, 0];0.009353606386000067;[1.0709258221014788];[1.070925822101494, -0.6508629489184482]
[32, 2, 16, 1];0.045735008692238545;[-0.249397586842662];[-0.24939758684265395, -0.365400604409952]
[4, 1, 4, 5];0.030932944717447362;[0.026248525354566298];[0.02624852535456112, -0.12583528710375125]
[4, 4, 4, 0];0.12269591812541973;[0.027022896649090397];[0.027022896649094765, -0.08243996562935545]
[1, 8, 128, 2];0.008721797515609067;[1.085327584999732];[1.0853275849997421, -0.5859433964775169]
[4, 1, 2, 0];0.02636099497586677;[0.009842648100132455];[0.009842648100137096, -0.11643946079882983]
[2, 32, 128, 1];0.26379078377271525;[1.0781532875170792];[1.0781532875170865, -0.24583994849064192]
[2, 1, 128, 5];0.015942169873654023;[1.0701514508069547];[1.0701514508069603, -0.6942582703928439]
[1, 4, 64, 2];0.011399103885780273;[0.5593070177986171];[0.5593070177986221, -0.3431373833521977]
[2, 64, 2, 0];0.3403458463288679;[0.05284298096299149];[0.05284298096298332, 0.8089805377804952]
[4, 256, 1, 1];0.23553138763495232;[0.06746126950784223];[0.06746126950779438, 3.5768607776782813]
[2, 2, 256, 2];0.00813007716879373;[2.120385718855282];[2.120385718855305, -1.2811260467504406]
[32, 1, 16, 1];0.024093996878113998;[-0.24965571060750485];[-0.24965571060749658, -0.3798657115680879]
[8, 256, 4, 1];0.18799051353023585;[0.03859301403396581];[0.03859301403391857, 3.5345305429873486]
[4, 2, 128, 3];0.028284561899460842;[1.0436710388940353];[1.043671038894045, -0.693911410851479]
[4, 256, 16, 4];0.19279483152405547;[0.1905053489160658];[0.19050534891601317, 3.5063920803912896]
[1, 32, 4, 0];0.20103307232318787;[0.07435816558133039];[0.07435816558132849, 0.34376040622359766]
[32, 32, 1, 0];0.12007960930332076;[-0.36469795330559884];[-0.36469795330559607, 0.1390213076211203]
